name,Single Model CV Score
"nb_1km, lgb_high",252302.44481531385
"nb_1km, lgb_mid",251137.70741696662
"nb_1km, lgb_low",251033.44667772544
"nb_1km, xgb_high",248371.78740189094
"nb_1km, xgb_mid",247277.01086934196
"nb_1km, xgb_low",248590.48297221944
"nb_1km, rf_high",244981.87093873386
"nb_1km, rf_low",267574.5090430835
"nb_1km, ridge",307278.7317244598
"nb_3km, lgb_high",242585.29625214863
"nb_3km, lgb_mid",243184.15800384525
"nb_3km, lgb_low",250002.64329405385
"nb_3km, xgb_high",243610.54494490777
"nb_3km, xgb_mid",242286.79778840518
"nb_3km, xgb_low",249185.63155053635
"nb_3km, rf_high",243679.44341938448
"nb_3km, rf_low",275081.2120967986
"nb_3km, ridge",282001.3223600227
"nb_5km, lgb_high",241072.71653372044
"nb_5km, lgb_mid",241181.40626179203
"nb_5km, lgb_low",245239.62159928802
"nb_5km, xgb_high",242087.08599693468
"nb_5km, xgb_mid",241402.54235876072
"nb_5km, xgb_low",246783.22930927886
"nb_5km, rf_high",242139.88702409118
"nb_5km, rf_low",282704.02345337335
"nb_5km, ridge",275132.0584729559
"nn_5, lgb_high",177706.52523805804
"nn_5, lgb_mid",176631.18435627455
"nn_5, lgb_low",176635.4506755796
"nn_5, xgb_high",174378.07093162826
"nn_5, xgb_mid",173674.00664558372
"nn_5, xgb_low",174126.55693200036
"nn_5, rf_high",173934.25818998975
"nn_5, rf_low",202635.5083748544
"nn_5, ridge",192320.26205185655
"nn_10, lgb_high",173791.85350042683
"nn_10, lgb_mid",173214.63498364965
"nn_10, lgb_low",173454.90644311803
"nn_10, xgb_high",173368.3422776565
"nn_10, xgb_mid",172512.0962984108
"nn_10, xgb_low",173079.4033637254
"nn_10, rf_high",172003.15844820865
"nn_10, rf_low",201311.41971737953
"nn_10, ridge",174135.18087603938
"nn_20, lgb_high",172236.8048380517
"nn_20, lgb_mid",171287.65041032096
"nn_20, lgb_low",172691.32481421638
"nn_20, xgb_high",170552.08986939947
"nn_20, xgb_mid",170524.4765288454
"nn_20, xgb_low",171155.77717336363
"nn_20, rf_high",170058.00839061523
"nn_20, rf_low",200939.8330129792
"nn_20, ridge",174052.6071067381
"original, lgb_high",113766.93973323479
"original, lgb_mid",113214.35215286782
"original, lgb_low",113065.43509478212
"original, xgb_high",112764.1637068111
"original, xgb_mid",111667.36276043183
"original, xgb_low",111468.38898190143
"original, rf_high",128960.98259811409
"original, rf_low",222662.86208686224
"original, ridge",122399.62861310893
"full, lgb_high",114589.7245840256
"full, lgb_mid",114169.22954819379
"full, lgb_low",112426.486752214
"full, xgb_high",118911.70836777962
"full, xgb_mid",118733.06816636465
"full, xgb_low",112364.4058708678
"full, rf_high",131908.07702169294
"full, rf_low",194531.5799172903
"full, ridge",115365.20361563654
